# WORD	TF	IDF	ATTR
当机立断	14.01	8.10	i 
禎	1.01	0.00	@ 
银朱	11.85	12.31	n 
尘封	14.17	6.39	v 
胃小弯	11.48	13.49	n 
套子	13.55	8.25	n 
宫保	13.20	14.72	nr
宫保鸡	14.68	6.64	nr
宫保鸡丁	14.68	6.64	nr
鸡丁	14.49	6.19	nr
嚢	0.75	0.00	@ 
埃托啡	11.67	13.15	n 
中国建筑学会	13.56	15.65	nt
宏病毒	12.98	10.41	n 
家庭生活	14.43	6.85	n 
城域	13.74	7.72	n 
鹿特丹	13.56	14.29	ns
醛酸	12.39	11.17	n 
营商	13.06	15.31	nz
落座	13.63	8.02	v 
立案率	11.64	13.20	n 
红烧肉	14.00	7.69	n 
红烧带鱼	13.88	8.62	n 
带鱼	13.45	8.52	n
涓涓细流	13.71	8.94	n 
高效化	12.92	10.54	v 
连接件	13.77	8.36	n 
生物化学系	13.63	9.40	n 
红烧	14.08	6.67	b 
